hyp_file,lang,mode,system,base,wer,cer,has_ref,ref_file
results/transcripts/sweep/whisper/b1_t02_bo3/fr/txt/fr05_2004.txt,fr,sweep,whisper,fr05_2004,0.3462,0.1870,1,data/ref/fr/fr05_2004.txt
results/transcripts/sweep/whisper/b1_t02_bo3/fr/txt/fr03_1857.txt,fr,sweep,whisper,fr03_1857,0.6538,0.2577,1,data/ref/fr/fr03_1857.txt
results/transcripts/sweep/whisper/b1_t02_bo3/fr/txt/fr04_1913.txt,fr,sweep,whisper,fr04_1913,0.9231,0.4828,1,data/ref/fr/fr04_1913.txt
results/transcripts/sweep/whisper/b1_t02_bo3/fr/txt/fr01_1987.txt,fr,sweep,whisper,fr01_1987,0.2500,0.1000,1,data/ref/fr/fr01_1987.txt
results/transcripts/sweep/whisper/b1_t02_bo3/fr/txt/fr02_1690.txt,fr,sweep,whisper,fr02_1690,0.2222,0.0927,1,data/ref/fr/fr02_1690.txt
results/transcripts/sweep/whisper/b1_t02_bo3/mn/txt/mn04_1974.txt,mn,sweep,whisper,mn04_1974,1.0000,1.0000,1,data/ref/mn/mn04_1974.txt
results/transcripts/sweep/whisper/b1_t02_bo3/mn/txt/mn01_1870.txt,mn,sweep,whisper,mn01_1870,1.6000,0.9070,1,data/ref/mn/mn01_1870.txt
results/transcripts/sweep/whisper/b1_t02_bo3/mn/txt/mn03_1822.txt,mn,sweep,whisper,mn03_1822,1.0000,0.9259,1,data/ref/mn/mn03_1822.txt
results/transcripts/sweep/whisper/b1_t02_bo3/mn/txt/mn02_1681.txt,mn,sweep,whisper,mn02_1681,1.0000,1.0000,1,data/ref/mn/mn02_1681.txt
results/transcripts/sweep/whisper/b1_t02_bo3/mn/txt/mn05_1713.txt,mn,sweep,whisper,mn05_1713,1.0000,0.9931,1,data/ref/mn/mn05_1713.txt
results/transcripts/sweep/whisper/b1_t02_bo3/hu/txt/hu03_1914.txt,hu,sweep,whisper,hu03_1914,0.8571,0.2294,1,data/ref/hu/hu03_1914.txt
results/transcripts/sweep/whisper/b1_t02_bo3/hu/txt/hu02_1874.txt,hu,sweep,whisper,hu02_1874,0.9200,0.3566,1,data/ref/hu/hu02_1874.txt
results/transcripts/sweep/whisper/b1_t02_bo3/hu/txt/hu04_1868.txt,hu,sweep,whisper,hu04_1868,0.7407,0.2753,1,data/ref/hu/hu04_1868.txt
results/transcripts/sweep/whisper/b1_t02_bo3/hu/txt/hu01_1742.txt,hu,sweep,whisper,hu01_1742,0.7647,0.3269,1,data/ref/hu/hu01_1742.txt
results/transcripts/sweep/whisper/b1_t02_bo3/hu/txt/hu05_1820.txt,hu,sweep,whisper,hu05_1820,0.8667,0.3010,1,data/ref/hu/hu05_1820.txt
results/transcripts/sweep/whisper/b1_t02_bo3/es/txt/es05_1799.txt,es,sweep,whisper,es05_1799,0.2143,0.0294,1,data/ref/es/es05_1799.txt
results/transcripts/sweep/whisper/b1_t02_bo3/es/txt/es04_1770.txt,es,sweep,whisper,es04_1770,0.0667,0.0250,1,data/ref/es/es04_1770.txt
results/transcripts/sweep/whisper/b1_t02_bo3/es/txt/es03_1764.txt,es,sweep,whisper,es03_1764,0.0000,0.0000,1,data/ref/es/es03_1764.txt
results/transcripts/sweep/whisper/b1_t02_bo3/es/txt/es01_2001.txt,es,sweep,whisper,es01_2001,0.2414,0.0533,1,data/ref/es/es01_2001.txt
results/transcripts/sweep/whisper/b1_t02_bo3/es/txt/es02_1852.txt,es,sweep,whisper,es02_1852,0.2000,0.0574,1,data/ref/es/es02_1852.txt
results/transcripts/sweep/whisper/b1_t0_bo1/fr/txt/fr05_2004.txt,fr,sweep,whisper,fr05_2004,0.3846,0.1951,1,data/ref/fr/fr05_2004.txt
results/transcripts/sweep/whisper/b1_t0_bo1/fr/txt/fr03_1857.txt,fr,sweep,whisper,fr03_1857,0.6538,0.2577,1,data/ref/fr/fr03_1857.txt
results/transcripts/sweep/whisper/b1_t0_bo1/fr/txt/fr04_1913.txt,fr,sweep,whisper,fr04_1913,0.9231,0.4621,1,data/ref/fr/fr04_1913.txt
results/transcripts/sweep/whisper/b1_t0_bo1/fr/txt/fr01_1987.txt,fr,sweep,whisper,fr01_1987,0.2000,0.0636,1,data/ref/fr/fr01_1987.txt
results/transcripts/sweep/whisper/b1_t0_bo1/fr/txt/fr02_1690.txt,fr,sweep,whisper,fr02_1690,0.2540,0.0899,1,data/ref/fr/fr02_1690.txt
results/transcripts/sweep/whisper/b1_t0_bo1/mn/txt/mn04_1974.txt,mn,sweep,whisper,mn04_1974,1.0000,1.0000,1,data/ref/mn/mn04_1974.txt
results/transcripts/sweep/whisper/b1_t0_bo1/mn/txt/mn01_1870.txt,mn,sweep,whisper,mn01_1870,1.0000,0.9419,1,data/ref/mn/mn01_1870.txt
results/transcripts/sweep/whisper/b1_t0_bo1/mn/txt/mn03_1822.txt,mn,sweep,whisper,mn03_1822,1.1304,0.9136,1,data/ref/mn/mn03_1822.txt
results/transcripts/sweep/whisper/b1_t0_bo1/mn/txt/mn02_1681.txt,mn,sweep,whisper,mn02_1681,1.0000,1.0000,1,data/ref/mn/mn02_1681.txt
results/transcripts/sweep/whisper/b1_t0_bo1/mn/txt/mn05_1713.txt,mn,sweep,whisper,mn05_1713,1.0000,2.9517,1,data/ref/mn/mn05_1713.txt
results/transcripts/sweep/whisper/b1_t0_bo1/hu/txt/hu03_1914.txt,hu,sweep,whisper,hu03_1914,0.7857,0.2477,1,data/ref/hu/hu03_1914.txt
results/transcripts/sweep/whisper/b1_t0_bo1/hu/txt/hu02_1874.txt,hu,sweep,whisper,hu02_1874,0.8800,0.3566,1,data/ref/hu/hu02_1874.txt
results/transcripts/sweep/whisper/b1_t0_bo1/hu/txt/hu04_1868.txt,hu,sweep,whisper,hu04_1868,0.7407,0.2753,1,data/ref/hu/hu04_1868.txt
results/transcripts/sweep/whisper/b1_t0_bo1/hu/txt/hu01_1742.txt,hu,sweep,whisper,hu01_1742,0.7647,0.2981,1,data/ref/hu/hu01_1742.txt
results/transcripts/sweep/whisper/b1_t0_bo1/hu/txt/hu05_1820.txt,hu,sweep,whisper,hu05_1820,0.8000,0.6019,1,data/ref/hu/hu05_1820.txt
results/transcripts/sweep/whisper/b1_t0_bo1/es/txt/es05_1799.txt,es,sweep,whisper,es05_1799,0.2143,0.0294,1,data/ref/es/es05_1799.txt
results/transcripts/sweep/whisper/b1_t0_bo1/es/txt/es04_1770.txt,es,sweep,whisper,es04_1770,0.0667,0.0125,1,data/ref/es/es04_1770.txt
results/transcripts/sweep/whisper/b1_t0_bo1/es/txt/es03_1764.txt,es,sweep,whisper,es03_1764,0.0000,0.0000,1,data/ref/es/es03_1764.txt
results/transcripts/sweep/whisper/b1_t0_bo1/es/txt/es01_2001.txt,es,sweep,whisper,es01_2001,0.2414,0.0533,1,data/ref/es/es01_2001.txt
results/transcripts/sweep/whisper/b1_t0_bo1/es/txt/es02_1852.txt,es,sweep,whisper,es02_1852,0.2000,0.0541,1,data/ref/es/es02_1852.txt
results/transcripts/sweep/whisper/b5_t0_bo1/fr/txt/fr05_2004.txt,fr,sweep,whisper,fr05_2004,0.3077,0.1707,1,data/ref/fr/fr05_2004.txt
results/transcripts/sweep/whisper/b5_t0_bo1/fr/txt/fr03_1857.txt,fr,sweep,whisper,fr03_1857,0.5000,0.1656,1,data/ref/fr/fr03_1857.txt
results/transcripts/sweep/whisper/b5_t0_bo1/fr/txt/fr04_1913.txt,fr,sweep,whisper,fr04_1913,0.9615,0.4897,1,data/ref/fr/fr04_1913.txt
results/transcripts/sweep/whisper/b5_t0_bo1/fr/txt/fr01_1987.txt,fr,sweep,whisper,fr01_1987,0.2000,0.0727,1,data/ref/fr/fr01_1987.txt
results/transcripts/sweep/whisper/b5_t0_bo1/fr/txt/fr02_1690.txt,fr,sweep,whisper,fr02_1690,0.2222,0.0730,1,data/ref/fr/fr02_1690.txt
results/transcripts/sweep/whisper/b5_t0_bo1/mn/txt/mn04_1974.txt,mn,sweep,whisper,mn04_1974,1.0000,1.0000,1,data/ref/mn/mn04_1974.txt
results/transcripts/sweep/whisper/b5_t0_bo1/mn/txt/mn01_1870.txt,mn,sweep,whisper,mn01_1870,5.6000,4.3605,1,data/ref/mn/mn01_1870.txt
results/transcripts/sweep/whisper/b5_t0_bo1/mn/txt/mn03_1822.txt,mn,sweep,whisper,mn03_1822,1.0000,0.9321,1,data/ref/mn/mn03_1822.txt
results/transcripts/sweep/whisper/b5_t0_bo1/mn/txt/mn02_1681.txt,mn,sweep,whisper,mn02_1681,1.0000,1.0000,1,data/ref/mn/mn02_1681.txt
results/transcripts/sweep/whisper/b5_t0_bo1/mn/txt/mn05_1713.txt,mn,sweep,whisper,mn05_1713,2.8500,1.9517,1,data/ref/mn/mn05_1713.txt
results/transcripts/sweep/whisper/b5_t0_bo1/hu/txt/hu03_1914.txt,hu,sweep,whisper,hu03_1914,0.6429,0.2477,1,data/ref/hu/hu03_1914.txt
results/transcripts/sweep/whisper/b5_t0_bo1/hu/txt/hu02_1874.txt,hu,sweep,whisper,hu02_1874,0.8400,0.3077,1,data/ref/hu/hu02_1874.txt
results/transcripts/sweep/whisper/b5_t0_bo1/hu/txt/hu04_1868.txt,hu,sweep,whisper,hu04_1868,0.6667,0.2584,1,data/ref/hu/hu04_1868.txt
results/transcripts/sweep/whisper/b5_t0_bo1/hu/txt/hu01_1742.txt,hu,sweep,whisper,hu01_1742,0.7059,0.3269,1,data/ref/hu/hu01_1742.txt
results/transcripts/sweep/whisper/b5_t0_bo1/hu/txt/hu05_1820.txt,hu,sweep,whisper,hu05_1820,0.8667,0.3592,1,data/ref/hu/hu05_1820.txt
results/transcripts/sweep/whisper/b5_t0_bo1/es/txt/es05_1799.txt,es,sweep,whisper,es05_1799,0.1429,0.0196,1,data/ref/es/es05_1799.txt
results/transcripts/sweep/whisper/b5_t0_bo1/es/txt/es04_1770.txt,es,sweep,whisper,es04_1770,0.0667,0.0125,1,data/ref/es/es04_1770.txt
results/transcripts/sweep/whisper/b5_t0_bo1/es/txt/es03_1764.txt,es,sweep,whisper,es03_1764,0.0000,0.0000,1,data/ref/es/es03_1764.txt
results/transcripts/sweep/whisper/b5_t0_bo1/es/txt/es01_2001.txt,es,sweep,whisper,es01_2001,0.2069,0.0473,1,data/ref/es/es01_2001.txt
results/transcripts/sweep/whisper/b5_t0_bo1/es/txt/es02_1852.txt,es,sweep,whisper,es02_1852,0.1600,0.0473,1,data/ref/es/es02_1852.txt
